Wildlife Sanctuary,Trapaeng_name,latitude,longitude
CWS,Brey Yaik Srorng,13.93766,105.3701
CWS,Snoav,13.965467,105.376429
CWS,Anchanh1,13.971379,105.372945
CWS,Snor near Prorlay Tem,14.014553,105.364391
CWS,Tem,13.990366,105.373289
CWS,Bok Beong,13.979498,105.393944
CWS,No Name20 Brapul,13.995248,105.374017
CWS,Ta Seng,14.003224,105.370329
CWS,Tha Noung,14.008776,105.373603
CWS,Anchanh Snoav / Anchanh Khse Lous,14.021159,105.394269
CWS,Romchhey Thom,14.030319,105.385808
CWS,No Name40,14.025693,105.382238
CWS,Reussey,13.98396,105.35484
CWS,No Name41,13.9997,105.353909
CWS,Kandoal,13.998668,105.354028
CWS,Anchanh2,13.989779,105.358335
CWS,Chambok Pring Veal/ Pring Veal,13.977919,105.346801
CWS,Mour Boeng,13.99951,105.318547
CWS,Ron Teasbanh,14.01083,105.319536
CWS,Pro Vech,13.996175,105.309425
CWS,Yaiy Chem,13.978007,105.310046
CWS,Som Trom ,13.900446,105.576107
CWS,Tros,13.883976,105.598107
CWS,Char,13.883313,105.606751
CWS,Ampil,13.902478,105.602976
CWS,Prolet,13.89843,105.623508
CWS,Dong Heut,13.915207,105.604148
CWS,Kroursh,13.92845,105.492272
CWS,Rong Pouk,13.948843,105.517593
CWS,Sangke Bay Sam Nom,13.954881,105.519326
CWS,AnDongKraBek,13.962601,105.530322
CWS,Thmor Veal,13.95177,105.540159
CWS,Sang Ke3,13.943419,105.541225
CWS,No name23 2,13.928163,105.551515
CWS,KhtomToulSangKe,13.979471,105.486352
CWS,PhnomSangKe,13.994217,105.492959
CWS,La Okk,13.991643,105.462645
CWS,BorssPhdao,13.939749,105.463705
