system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,Wildlife Sanctuary,Year
59,15,271.7750195,0,20.90580338,20.90580338,0,20.90580338,0,110.9058387,,15,146.3405175,0,45,182.7172569,50.90581517,,,254.529123,15,20.90580338,43.68607941,14.56202647,0,15,14.56202647,,,0,20.90580338,,,0,0,50.90581517,134.5289108,,15,0,266.585532,,195,0,14.56202647,,,14.56202647,104.5289697,,,50.90581517,131.0582382,,,15,43.68607941,131.0582382,225,20.90580338,91.84147487,137.4020151,131.0582382,43.68607941,91.84147487,0,15,0,,75,0,43.68607941,233.7123717,72.81013235,152.7174573,105,14.56202647,43.68607941,,122.7173276,488.1509806,62.71739835,45,15,43.68607941,KPWS,2010
0000000000000000005a,122.6876877,,0,0,14.54778215,0,0,14.54778215,14.54778215,,14.54778215,0,0,62.68766379,50.89587197,0,0,14.54778215,,15,62.68766379,14.54778215,,0,0,166.3737055,,49.99144825,14.54778215,0,,43.64334646,,0,45,,,14.54778215,45,,,14.54778215,0,,,,0,50.89589591,14.54778215,,0,0,,,14.54778215,0,75,20.89588394,137.2781412,14.54778215,43.64334646,20.89588394,295.4518792,15,0,15,0,,188.0627639,0,,20.89588394,14.54778215,0,92.68767576,14.54778215,0,0,91.7832281,,122.687568,0,0,15,KPWS,2010
0000000000000000005b,,,0,72.77026704,14.55405341,,0,50.00835731,15,,0,0,0,75,0,75,104.5012049,0,0,0,14.55405341,50.00835731,,14.55405341,0,204.5176551,,,0,0,,20.90025049,0,0,79.11646412,,,0,45,,,0,72.77026704,,,91.80887018,0,72.77026704,0,,50.9002386,14.55405341,,,14.55405341,20.90025049,122.7007871,0,218.3108011,0,246.3186583,62.70073958,,14.55405341,79.11646412,75,20.90025049,,0,14.55405341,0,,20.90025049,72.77026704,14.55405341,,45,0,262.7336638,0,0,75,0,20.90025049,KPWS,2011
0000000000000000005c,,,91.80294242,0,120.908144,,130.9735612,0,15,134.4961473,0,20.8992509,0,15,0,80.89922708,0,,333.6185626,14.55261792,0,0,,,0,0,,,0,0,,0,15,0,14.55261792,,,14.55261792,0,,,0,0,,,,0,0,122.6977884,15,50.00448673,0,,,45,20.8992509,0,15,20.8992509,14.55261792,50.00448673,50.00448673,75,0,14.55261792,20.8992509,176.2945658,,133.6013743,,0,,50.89923899,0,20.8992509,,133.6013743,14.55261792,14.55261792,45,20.8992509,20.8992509,0,0,KPWS,2011
0000000000000000005d,,,0,15,50.90254137,,0,0,15,,0,14.557326,0,0,615.8853181,80.90255321,0,14.557326,,0,50.01718151,91.82219467,,0,0,137.3611375,,,75,0,,43.67197799,0,0,14.557326,,,14.557326,0,,,0,0,80.90255321,,,0,0,,0,0,0,,,0,,0,50.90251767,225,0,14.557326,45,250.0859549,0,0,20.90252952,50.90251767,,0,0,0,446.0239661,0,0,0,,50.90251767,20.90252952,152.7076359,0,0,62.7076004,0,0,KPWS,2011
0000000000000000005e,,,0,0,50.89935807,,92.69806231,0,20.89934617,0,62.69802659,0,0,20.89934617,,176.2952326,0,0,315,14.55275473,0,50.89933426,14.55275473,218.2913209,15,0,,,0,0,,104.4967785,15,14.55275473,0,62.69802659,,15,0,,,80.89936998,0,,,,14.55275473,0,14.55275473,344.4968737,43.65826418,0,,,122.6979551,15,0,43.65826418,242.6978122,14.55275473,15,50.00485562,45,50.00485562,15,14.55275473,146.2955303,,14.55275473,0,,,20.89934617,0,15,,130.9747925,20.89934617,0,79.11036507,188.093925,260.8992509,0,0,KPWS,2011
0000000000000000005f,,,14.55465086,15,20.90066653,,15,0,14.55465086,,0,0,0,20.90066653,458.1062959,45,0,20.90066653,353.7946636,0,14.55465086,15,,,0,0,,,0,0,,43.66395257,,0,0,,,62.70198772,0,,,0,0,15,,,0,0,14.55465086,480.3034783,0,0,,,91.81125531,14.55465086,0,14.55465086,165,15,15,20.90066653,329.9276962,20.90066653,0,,122.7020353,14.55465086,110.9007022,0,62.70201149,14.55465086,110.9007022,0,0,,176.3044756,20.90066653,15,0,50.00996825,0,0,14.55465086,KPWS,2011
60,,,20.89691257,15,120.8876955,,110.8968767,0,15,,20.89691257,14.5492596,62.69072576,45,,133.5829656,75,80.89688867,358.9558513,101.8448172,14.5492596,15,,14.5492596,50.89692452,20.89691257,,,92.69076162,15,,50.89690062,14.5492596,0,49.99543178,,,164.4843955,0,,,79.09395098,,,,,20.89691257,75,14.5492596,,14.5492596,14.5492596,,,164.4843955,43.64777881,122.6906541,50.89690062,62.69072576,15,104.4846107,62.69072576,182.6905823,105,0,0,471.6397269,,20.89691257,15,,0,104.4846107,92.69068991,50.89690062,0,166.3895086,104.484515,104.484515,,104.484515,164.4846346,0,43.64777881,KPWS,2011
61,20.89468584,,0,20.89468584,0,,0,0,92.68400955,0,14.5460612,49.98680824,15,91.77613347,,0,0,49.98680824,,0,91.77613347,14.5460612,0,,0,79.07893063,,,14.5460612,14.5460612,,0,0,0,20.89468584,79.07893063,,0,14.5460612,0,,0,91.77613347,,,,14.5460612,80.89466186,80.89466186,0,0,49.98680824,,,20.89468584,49.98680824,92.68400955,149.9603094,14.5460612,0,43.63818359,79.07893063,45,20.89468584,45,182.6839016,0,,0,92.68400955,134.4733213,,0,92.68400955,149.9603094,,14.5460612,0,134.4734892,91.77613347,,80.89470982,14.5460612,,KPWS,2011
62,0,50.90467064,0,0,0,14.56041718,0,20.90468245,15,345,0,0,14.56041718,108.2671855,,14.56041718,0,14.56041718,20.90468245,0,108.2671855,14.56041718,15,14.56041718,14.56041718,0,134.523306,,0,0,,15,0,0,0,14.56041718,,135,0,,,0,0,14.56041718,,,0,0,0,15,0,0,14.56041718,0,0,0,43.68125154,91.83489352,50.02551681,15,15,80.90470607,0,15,0,194.5234949,0,,14.56041718,176.3325882,91.83483599,,15,50.02551681,288.1925413,,14.56041718,14.56041718,14.56041718,212.7138584,105,15,0,14.56041718,KPWS,2011
63,0,,43.68480976,0,0,,0,0,0,0,0,14.56160325,0,0,564.4467385,206.3382888,0,14.56160325,,20.90550859,14.56160325,20.90550859,137.3983346,253.8911607,15,0,,0,0,50.0287151,,0,,0,50.0287151,50.0287151,,20.90550859,0,0,379.9596509,50.90552038,14.56160325,50.90549679,,146.338454,20.90550859,0,20.90550859,,0,14.56160325,,,101.9312228,0,0,80.90553218,14.56160325,15,450.257028,131.0544293,0,43.68480976,79.15192161,80.905485,108.2751281,,14.56160325,0,15,50.0287151,45,140.9054614,45,50.90549679,79.15192161,0,137.3983346,,110.905544,0,0,0,KPWS,2011
64,0,194.5264931,0,91.83877447,120.9615068,,0,20.90534345,105,,0,14.56136617,0,20.90534345,75,0,,20.90534345,120.9614155,0,91.83877447,14.56136617,101.9295632,0,0,0,,,0,0,,0,,0,75,266.5751685,,14.56136617,0,0,79.15080811,62.71601854,,20.90534345,,15,0,15,15,,0,206.3375339,,,20.90534345,0,91.83877447,91.83877447,15,14.56136617,15,92.71598315,45,20.90534345,0,14.56136617,14.56136617,,20.90534345,152.7160775,0,50.90535524,0,50.90533165,,120.9615068,15,0,92.71598315,,43.6840985,43.6840985,0,15,KPWS,2011
65,45,,0,20.89469783,14.54607842,,0,0,110.8946619,0,14.54607842,50.89468584,14.54607842,79.07901152,,0,14.54607842,43.63823527,,0,91.7762039,14.54607842,0,,0,62.6840815,,,0,14.54607842,,0,0,0,45,62.6840815,,0,15,0,,14.54607842,91.7762039,,,,14.54607842,92.68404553,105,0,0,50.89468584,,,45,50.89468584,91.7762039,133.5655291,45,0,20.89469783,62.6840815,45,45,20.89469783,200.8946259,0,,0,72.73039212,152.6839736,,0,104.4734412,133.5655291,,15,0,92.68411748,92.68404553,,45,0,,KPWS,2011
66,,,0,20.90251767,50.01713563,,0,15,0,,0,0,0,14.55730898,632.309495,122.7075885,0,14.55730898,,0,72.78654492,50.90250582,,0,0,104.5125409,,,108.2463716,0,,79.1317536,0,0,15,,,14.55730898,0,,,0,0,92.7075767,,,0,0,,0,0,0,,,0,,20.90251767,50.01713563,260.9026125,0,0,72.78654492,233.6615842,0,0,0,15,,0,0,0,464.2189071,0,0,0,,50.01713563,0,194.5126713,0,0,43.67192695,0,0,KPWS,2012
67,,,20.89882204,0,15,,20.89882204,146.2918615,43.65600603,,20.89882204,140.8987744,0,229.8873403,92.69641844,130.9680181,75,0,,0,134.4940029,15,15,104.4941578,0,188.0892077,,,0,0,,43.65600603,80.89884587,0,105,,,259.8873522,146.291647,,,14.55200201,0,14.55200201,,0,14.55200201,14.55200201,,289.8864823,91.80042398,15,,,75,20.89882204,105,75,338.0896486,326.291933,122.6965019,150.0084901,80.89884587,146.291647,0,15,189.1760261,,0,62.69645419,0,,0,14.55200201,246.297597,,229.8867445,79.10683008,104.4941578,62.69647803,324.6321823,285,0,0,KPWS,2012
68,,,0,0,131.0022944,,0,15,0,0,0,15,0,43.66743147,104.5074179,104.5074179,,0,,0,15,14.55581049,0,,,0,,,50.01309507,0,,20.90147409,72.77905246,0,14.55581049,,,0,0,,0,0,0,,,92.704446,0,0,,104.5074179,0,14.55581049,,,14.55581049,43.66743147,0,20.90147409,170.9015334,14.55581049,15,20.90147409,,15,0,20.90147409,14.55581049,,0,0,20.90147409,,20.90147409,0,43.66743147,,,75,15,15,43.66743147,75,0,0,KPWS,2012
69,79.14085309,20.90386708,0,0,14.5592465,,0,62.71161305,20.90386708,,0,45,0,72.79623252,0,79.14085309,0,,0,0,20.90386708,0,20.90386708,0,0,0,,,14.5592465,15,,0,0,0,15,,,0,0,,45,0,104.5192881,0,,224.7333181,0,0,45,105,0,14.5592465,,,15,0,43.67773951,104.5193827,79.14085309,0,50.02236008,79.14085309,,0,0,91.83004846,0,,14.5592465,0,15,250.1114136,20.90386708,14.5592465,45,45,0,0,43.67773951,14.5592465,,14.5592465,0,79.14085309,KPWS,2012
0000000000000000006a,0,,43.68480976,0,0,,0,0,0,0,0,14.56160325,0,0,564.4467385,206.3382888,0,14.56160325,,20.90550859,14.56160325,20.90550859,137.3983346,253.8911607,15,0,,0,0,50.0287151,,0,,0,50.0287151,50.0287151,,20.90550859,0,0,379.9596509,50.90552038,14.56160325,50.90549679,,146.338454,20.90550859,0,20.90550859,,0,14.56160325,,,101.9312228,0,0,80.90553218,14.56160325,15,450.257028,131.0544293,0,43.68480976,79.15192161,80.905485,108.2751281,,14.56160325,0,15,50.0287151,45,140.9054614,45,50.90549679,79.15192161,0,137.3983346,,110.905544,0,0,0,KPWS,2012
0000000000000000006b,0,50.90467064,0,0,0,14.56041718,0,20.90468245,15,345,0,0,14.56041718,108.2671855,,14.56041718,0,14.56041718,20.90468245,0,108.2671855,14.56041718,15,14.56041718,14.56041718,0,134.523306,,0,0,,15,0,0,0,14.56041718,,135,0,,,0,0,14.56041718,,,0,0,0,15,0,0,14.56041718,0,0,0,43.68125154,91.83489352,50.02551681,15,15,80.90470607,0,15,0,194.5234949,0,,14.56041718,176.3325882,91.83483599,,15,50.02551681,288.1925413,,14.56041718,14.56041718,14.56041718,212.7138584,105,15,0,14.56041718,KPWS,2012
0000000000000000006c,332.6977408,,0,122.6981099,195,,14.55277183,0,14.55277183,,0,79.11044538,14.55277183,0,489.66178,0,62.69806231,15,550.0519113,0,79.11044538,14.55277183,,,15,133.6023816,,,15,14.55277183,,45,0,0,43.65831548,,,80.89933426,14.55277183,,,50.89934617,79.11044538,0,,0,0,20.89935807,,,50.89934617,162.7076932,,,15,14.55277183,50.89934617,120.9091734,50.89936998,15,289.8932603,195,20.89935807,15,15,302.6977765,45,,15,80.89933426,0,,80.89938189,75,345,133.6023816,104.4967427,43.65831548,162.7079253,170.8992985,,15,0,,KPWS,2013
0000000000000000006d,20.89480575,,0,0,0,0,0,14.54623344,0,0,0,0,14.54623344,15,0,0,20.89480575,62.68442923,0,0,0,75,0,20.89480575,0,0,,14.54623344,0,20.89480575,,0,0,0,0,14.54623344,,0,0,,,0,20.89480575,,,,0,0,188.0530599,,0,0,,,0,80.89478177,0,43.63870031,0,0,0,0,0,0,0,224.5420739,0,0,14.54623344,43.63870031,0,,0,0,79.0797395,,0,0,14.54623344,,20.89480575,20.89480575,0,14.54623344,KPWS,2013
0000000000000000006e,,,0,0,131.0022944,,0,15,0,0,0,15,0,43.66743147,104.5074179,104.5074179,,0,,0,15,14.55581049,0,,,0,,,50.01309507,0,,20.90147409,72.77905246,0,14.55581049,,,0,0,,0,0,0,,,92.704446,0,0,,104.5074179,0,14.55581049,,,14.55581049,43.66743147,0,20.90147409,170.9015334,14.55581049,15,20.90147409,,15,0,20.90147409,14.55581049,,0,0,20.90147409,,20.90147409,0,43.66743147,,,75,15,15,43.66743147,75,0,0,KPWS,2013
0000000000000000006f,,,0,80.90235176,20.90237546,,15,80.90239916,45,0,0,,0,134.5117706,189.2423623,50.90238731,0,79.13079462,,15,92.70707897,0,50.01658504,162.7401129,15,105,,,15,0,,,0,0,0,,,20.90237546,50.90238731,,,15,0,0,,,0,80.90235176,,50.90238731,14.55710479,20.90237546,,,0,50.90236361,105,80.90235176,50.01658504,15,146.3167349,146.3167349,,14.55710479,75,14.55710479,0,,15,79.13079462,0,135,20.90237546,50.90236361,110.9023399,,45,0,122.7070434,50.01658504,,20.90237546,14.55710479,20.90237546,KPWS,2013
70,,,14.55851618,43.67554853,20.90335842,,14.55851618,50.02039077,0,,0,14.55851618,43.67554853,72.79258088,75,20.90335842,43.67554853,0,62.71008709,14.55851618,20.90335842,14.55851618,14.55851618,,0,20.90335842,,,0,43.67554853,,62.71008709,14.55851618,0,50.02039077,,,0,14.55851618,,,14.55851618,0,,,108.2544555,0,20.90335842,75,92.71009893,45,43.67554853,,,14.55851618,,20.90335842,15,50.90334659,43.67554853,50.02039077,20.90335842,,45,20.90335842,43.67554853,20.90335842,,14.55851618,20.90335842,0,,0,92.71009893,50.90337025,,75,0,62.71008709,206.3236391,,14.55851618,15,,KPWS,2013
71,,,15,0,105,,62.69812185,0,50.00494783,346.3156789,0,43.65836678,0,0,0,0,0,0,,72.76394463,0,0,86.79871615,0,0,0,,,0,0,,0,62.69809803,14.55278893,0,,,326.2949826,0,,,14.55278893,0,20.89936998,,,0,0,140.8993224,20.89936998,0,0,,,14.55278893,0,0,14.55278893,45,108.2161035,20.89936998,50.00494783,,14.55278893,14.55278893,14.55278893,130.9751003,,50.00494783,0,0,101.8695225,72.76394463,0,20.89936998,,79.11052569,79.11052569,0,0,,104.4968023,0,0,KPWS,2013
72,0,,43.68480976,0,0,,0,0,0,0,0,14.56160325,0,0,564.4467385,206.3382888,0,14.56160325,,20.90550859,14.56160325,20.90550859,137.3983346,253.8911607,15,0,,0,0,50.0287151,,0,,0,50.0287151,50.0287151,,20.90550859,0,0,379.9596509,50.90552038,14.56160325,50.90549679,,146.338454,20.90550859,0,20.90550859,,0,14.56160325,,,101.9312228,0,0,80.90553218,14.56160325,15,450.257028,131.0544293,0,43.68480976,79.15192161,80.905485,108.2751281,,14.56160325,0,15,50.0287151,45,140.9054614,45,50.90549679,79.15192161,0,137.3983346,,110.905544,0,0,0,KPWS,2013
73,15,,0,14.55831226,14.55831226,,14.55831226,80.90324007,,,0,0,14.55831226,14.55831226,,50.01984091,14.55831226,0,131.0248103,14.55831226,0,15,,,0,14.55831226,,,0,0,,50.90320456,0,0,14.55831226,,,15,0,,,20.9032164,,,,,0,0,75,,15,110.9032519,,,0,15,188.129137,20.9032164,50.90320456,72.79156129,15,91.82628554,,62.70963736,50.01984091,15,45,0,43.67493677,,,,14.55831226,101.9081858,14.55831226,,0,0,92.70967287,62.70966103,45,101.9081858,0,15,KPWS,2013
74,15,,0,14.55831226,14.55831226,,14.55831226,80.90324007,,,0,0,14.55831226,14.55831226,,50.01984091,14.55831226,0,131.0248103,14.55831226,0,15,,,0,14.55831226,,,0,0,,50.90320456,0,0,14.55831226,,,15,0,,,20.9032164,,,,,0,0,75,,15,110.9032519,,,0,15,188.129137,20.9032164,50.90320456,72.79156129,15,91.82628554,,62.70963736,50.01984091,15,45,0,43.67493677,,,,14.55831226,101.9081858,14.55831226,,0,0,92.70967287,62.70966103,45,101.9081858,0,15,KPWS,2013
75,0,0,0,45,50.03687437,,14.56462904,165,0,,0,0,0,260.9077103,91.85206145,0,79.16613244,15,62.72283712,0,75,20.90761629,,0,0,15,62.72283712,,0,0,,20.90761629,14.56462904,14.56462904,0,0,,14.56462904,0,14.56462904,,0,0,14.56462904,,,0,43.69388711,79.16613244,91.85206145,14.56462904,0,,,14.56462904,14.56462904,62.72286063,260.9077103,92.72280185,14.56462904,45,50.03687437,62.72283712,0,0,15,15,,0,15,15,,50.03687437,62.72286063,14.56462904,,0,43.69388711,104.5381285,517.2428638,110.9076516,50.03687437,0,,KPWS,2013
76,122.6876877,,0,0,14.54778215,0,0,14.54778215,14.54778215,,14.54778215,0,0,62.68766379,50.89587197,0,0,14.54778215,,15,62.68766379,14.54778215,,0,0,166.3737055,,49.99144825,14.54778215,0,,43.64334646,,0,45,,,14.54778215,45,,,14.54778215,0,,,,0,50.89589591,14.54778215,,0,0,,,14.54778215,0,75,20.89588394,137.2781412,14.54778215,43.64334646,20.89588394,295.4518792,15,0,15,0,,188.0627639,0,,20.89588394,14.54778215,0,92.68767576,14.54778215,0,0,91.7832281,,122.687568,0,0,15,KPWS,2013
77,,,15,0,105,,62.69812185,0,50.00494783,346.3156789,0,43.65836678,0,0,0,0,0,0,,72.76394463,0,0,86.79871615,0,0,0,,,0,0,,0,62.69809803,14.55278893,0,,,326.2949826,0,,,14.55278893,0,20.89936998,,,0,0,140.8993224,20.89936998,0,0,,,14.55278893,0,0,14.55278893,45,108.2161035,20.89936998,50.00494783,,14.55278893,14.55278893,14.55278893,130.9751003,,50.00494783,0,0,101.8695225,72.76394463,0,20.89936998,,79.11052569,79.11052569,0,0,,104.4968023,0,0,KPWS,2014
78,,,0,14.5532505,62.69908606,,0,43.65975149,45,,0,0,0,162.7112746,0,291.8304518,0,14.5532505,208.231591,14.5532505,50.00619238,0,,,0,0,,,0,20.89969138,,14.5532505,,0,0,,,0,50.00619238,,,0,0,0,,,0,20.89969138,0,363.8312624,0,14.5532505,,,0,0,50.00619238,0,20.89969138,0,101.8727535,62.69908606,91.80558705,0,0,14.5532505,14.5532505,,,15,,,14.5532505,122.6989908,229.8963077,,43.65975149,0,101.8727535,382.8701972,14.5532505,366.4570134,0,14.5532505,KPWS,2014
79,,,14.55465086,14.55465086,15,,20.90066653,0,0,20.90066653,0,0,0,15,446.3048915,45,0,15,382.9039312,14.55465086,0,20.90066653,,,0,0,,,0,0,,14.55465086,,0,0,,,50.90065465,0,,,14.55465086,0,20.90066653,,,0,0,20.90066653,451.1941766,14.55465086,0,,,62.70198772,15,0,0,165,20.90066653,15,50.00996825,300.8183944,20.90066653,0,,110.9007022,0,104.5033802,,50.90067842,0,122.7020353,0,14.55465086,,188.1058087,50.00996825,20.90066653,0,20.90066653,0,0,0,KPWS,2014
0000000000000000007a,,,0,15,50.90002453,,0,0,0,,0,14.55374599,0,0,80.90001263,166.4374963,0,20.90003642,,14.55374599,0,20.90003642,,194.4999561,0,0,,,15,0,,110.9000721,0,0,0,,,162.7149818,0,,,0,0,0,,,0,0,50.90002453,133.6077217,0,0,,,162.7149818,0,14.55374599,20.90003642,266.2998148,14.55374599,20.90003642,15,,50.90004832,0,80.90001263,137.3300044,,0,0,0,160.0912059,130.9837139,0,0,,0,0,20.90003642,20.90003642,20.90003642,75,0,0,KPWS,2014
0000000000000000007b,,,0,0,131.0022944,,0,15,0,0,0,15,0,43.66743147,104.5074179,104.5074179,,0,,0,15,14.55581049,0,,,0,,,50.01309507,0,,20.90147409,72.77905246,0,14.55581049,,,0,0,,0,0,0,,,92.704446,0,0,,104.5074179,0,14.55581049,,,14.55581049,43.66743147,0,20.90147409,170.9015334,14.55581049,15,20.90147409,,15,0,20.90147409,14.55581049,,0,0,20.90147409,,20.90147409,0,43.66743147,,,75,15,15,43.66743147,75,0,0,KPWS,2014
0000000000000000007c,,,0,20.89500954,164.4751196,,0,0,108.1741666,,0,49.98806189,0,14.54652617,,0,50.89499755,14.54652617,,0,0,14.54652617,,,0,45,,,0,0,,0,0,14.54652617,0,,,0,0,,,0,50.89499755,0,,,14.54652617,50.89499755,49.98806189,20.89500954,0,0,,,0,0,50.89499755,134.4749398,14.54652617,0,20.89500954,164.4748799,14.54652617,0,134.4749398,146.2649589,0,49.98806189,0,14.54652617,45,72.73263086,0,0,134.4749398,,0,0,62.68504061,146.2649589,,0,50.89499755,134.4749398,KPWS,2014
0000000000000000007d,20.89480575,,0,0,0,0,0,20.89480575,62.68440525,0,0,15,14.54623344,49.98727262,0,0,15,50.89481774,43.63870031,0,14.54623344,104.4740767,0,20.89480575,0,0,,14.54623344,0,15,,0,14.54623344,0,14.54623344,101.8236341,,0,0,,,0,50.89481774,0,,,0,0,176.2637601,,0,0,,,0,80.89478177,0,130.9161009,0,0,14.54623344,50.89479376,0,0,0,208.1467636,0,,0,50.89479376,0,,0,0,164.4741007,,0,0,14.54623344,,15,0,0,,KPWS,2014
0000000000000000007e,0,,0,195.6230132,229.9477742,,0,20.90431625,,,0,43.67967424,0,296.3296938,248.139059,236.3298593,15,14.55989141,179.1919325,14.55989141,0,20.90431625,0,92.71297239,0,0,,,0,14.55989141,,133.641249,0,0,0,,,20.90431625,0,,,0,0,,,,0,14.55989141,0,200.9042454,20.90431625,15,,,14.55989141,166.5032304,20.90431625,,105,15,43.67967424,137.3834476,,50.90430444,43.67967424,20.90431625,45,0,20.90431625,,,,15,0,14.55989141,,15,0,43.67967424,91.8327434,150.072309,120.9524347,0,72.79945707,KPWS,2014
0000000000000000007f,,,14.55535023,0,0,,14.55535023,20.90115356,0,0,14.55535023,,0,212.7032707,104.5057203,104.5057203,0,14.55535023,,14.55535023,0,0,14.55535023,50.90114169,14.55535023,15,,,0,14.55535023,,122.7033776,50.90116544,0,0,14.55535023,,15,14.55535023,,50.90116544,15,14.55535023,0,,182.7035201,15,0,105,120.9248735,91.81411516,14.55535023,,,14.55535023,20.90115356,14.55535023,20.90115356,101.8874516,14.55535023,150.0355739,296.3082412,0,79.12255447,0,0,101.8874516,,43.66605068,0,0,20.90115356,50.01185402,0,14.55535023,,130.998152,0,20.90115356,301.7144144,,130.998152,14.55535023,0,KPWS,2015
80,,,0,0,0,,43.67105909,0,0,,15,,0,20.9023162,260.9022214,43.67105909,0,,79.13039498,15,0,14.5570197,14.5570197,50.01635559,,0,,,0,0,,0,50.01635559,0,0,,,110.9023518,0,,,0,0,0,,,14.5570197,0,0,170.9023755,,0,,,62.70696045,0,0,50.01635559,165,0,14.5570197,104.5116284,0,20.9023162,14.5570197,15,50.01635559,,45,0,0,254.5116877,91.82099984,0,20.9023162,,0,43.67105909,14.5570197,15,189.241256,110.9023518,0,,KPWS,2015
81,,,0,15,50.90002453,,0,0,0,,0,14.55374599,0,0,80.90001263,166.4374963,0,20.90003642,,14.55374599,0,20.90003642,,194.4999561,0,0,,,15,0,,110.9000721,0,0,0,,,162.7149818,0,,,0,0,0,,,0,0,50.90002453,133.6077217,0,0,,,162.7149818,0,14.55374599,20.90003642,266.2998148,14.55374599,20.90003642,15,,50.90004832,0,80.90001263,137.3300044,,0,0,0,160.0912059,130.9837139,0,0,,0,0,20.90003642,20.90003642,20.90003642,75,0,0,KPWS,2015
82,,,15,0,50.00536275,,0,0,20.89947713,,14.55294281,14.55294281,0,,,0,0,43.65882843,301.6936432,0,0,0,62.6984433,15,0,0,,,14.55294281,0,,206.2960661,20.89947713,0,0,,,91.80432892,0,,,15,0,14.55294281,,120.9101223,0,0,,,15,0,,,92.69838378,50.00536275,0,50.00536275,20.89947713,110.8995128,14.55294281,0,,50.00536275,14.55294281,43.65882843,0,,140.8994295,0,0,0,194.497469,0,14.55294281,,101.8705997,43.65882843,0,0,110.8994414,105,0,0,KPWS,2015
83,,,0,0,75,,0,14.55788728,20.90292042,,0,14.55788728,0,0,,15,62.70874941,0,0,0,0,15,20.90292042,0,0,14.55788728,,,0,0,,,0,0,0,,,14.55788728,0,,,0,0,50.90293226,,,0,0,14.55788728,0,,14.55788728,,,14.55788728,20.90292042,0,15,212.7085718,14.55788728,43.67366183,43.67366183,15,14.55788728,20.90292042,14.55788728,0,,14.55788728,0,0,,14.55788728,0,0,,0,0,15,14.55788728,75,122.7087968,0,,KPWS,2015
84,45,,0,50.90114169,50.01185402,,14.55535023,101.8874516,20.90115356,,0,50.01185402,15,45,0,20.90115356,101.8874516,,150.0354479,14.55535023,45,45,,43.66605068,0,110.9011892,,,0,0,,14.55535023,14.55535023,0,91.81411516,,,0,0,,,14.55535023,45,72.77675113,,,0,15,45,20.90115356,,62.70347256,,,15,50.01185402,45,79.12255447,79.12255447,20.90115356,130.998152,150.0354479,14.55535023,20.90115356,15,79.12255447,0,14.55535023,122.7034963,0,62.70344881,,0,0,160.1088525,,0,0,130.998152,170.9010942,0,79.12255447,20.90115356,,KPWS,2015
85,,,0,14.55514559,140.9009635,,0,75,14.55514559,128.603973,0,14.55514559,0,218.3271838,20.90101106,110.9009754,20.90101106,,0,0,62.70304504,14.55514559,,,0,75,,,0,0,,50.90102293,14.55514559,0,20.90101106,108.2318846,,0,0,,,0,0,,,,14.55514559,50.01130223,20.90101106,104.5050078,50.01130223,14.55514559,,,15,43.66543677,62.70304504,50.01130223,50.01130223,15,175.4174755,0,45,14.55514559,75,50.01130223,15,,0,0,14.55514559,,0,50.01130223,160.1066015,,80.9009873,0,120.9236274,188.1089095,0,0,0,20.90101106,KPWS,2016
86,,,14.55683246,50.90219766,189.238822,,15,182.7064033,43.67049738,15,14.55683246,131.0114921,0,15,162.7383063,101.8978272,150.047564,0,189.238822,0,14.55683246,15,,,0,15,,,0,14.55683246,,101.8978272,0,0,0,,,0,0,,,15,15,,,,14.55683246,62.70654555,92.70650998,146.3151939,45,108.2431806,,,79.12951564,0,229.9243402,104.5109764,15,14.55683246,75,329.9549099,,0,0,50.90219766,80.90216209,,108.2431806,,50.01585072,,0,15,120.9338991,,91.82017642,0,150.0474382,0,189.238822,108.2431806,0,45,KPWS,2016
