system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,Wildlife Sanctuary,Year
0000000000000000000a,,,14.55514559,0,14.55514559,,0,206.3068042,50.01130223,,0,0,45,62.70304504,,0,15,14.55514559,137.3421758,14.55514559,0,15,,50.90102293,0,14.55514559,,,62.70302129,14.55514559,,0,259.0209453,0,0,,,15,0,,,14.55514559,,92.70305692,,,0,20.90101106,50.90102293,120.9236274,0,0,,,91.81327836,50.01130223,20.90101106,50.01130223,20.90101106,62.70302129,397.118248,188.1089095,,62.70302129,0,,101.8860191,,,0,0,,62.70302129,0,417.2650272,,279.1668499,0,50.90099918,,104.5051028,,0,0,KPWS,2004
0000000000000000000b,,,20.89947713,14.55294281,20.89947713,,14.55294281,14.55294281,14.55294281,,20.89947713,15,0,,,0,0,14.55294281,289.8945699,14.55294281,0,0,50.00536275,14.55294281,14.55294281,0,,,0,0,,218.0949966,50.00536275,14.55294281,0,,,120.9102145,0,,,20.89947713,0,15,,91.80427092,14.55294281,0,,,20.89947713,0,,,104.497338,79.11124837,0,20.89947713,15,122.6984671,0,0,,79.11124837,15,72.76471405,0,,135,0,0,0,206.2964709,0,43.65882843,,105,72.76471405,0,0,105,110.8995128,14.55294281,0,KPWS,2004
0000000000000000000c,,,50.00536275,14.55294281,15,,20.89947713,15,0,,43.65882843,20.89947713,14.55294281,,,14.55294281,0,0,278.0955204,43.65882843,0,0,20.89947713,0,20.89947713,0,,,14.55294281,14.55294281,,229.8939508,79.11124837,43.65882843,0,,,150.0161002,0,,,20.89947713,0,15,,,20.89947713,0,,,43.65882843,14.55294281,,,105,91.80427092,0,15,20.89947713,134.4974452,0,0,,105,14.55294281,50.00536275,0,,135,0,0,,191.8147897,0,14.55294281,,105,92.69845521,14.55294281,14.55294281,110.8994414,122.6984671,20.89947713,14.55294281,KPWS,2004
0000000000000000000d,,,14.55514559,0,14.55514559,,0,206.3068042,50.01130223,,0,0,45,62.70304504,,0,15,14.55514559,137.3421758,14.55514559,0,15,,50.90102293,0,14.55514559,,,62.70302129,14.55514559,,0,259.0209453,0,0,,,15,0,,,14.55514559,,92.70305692,,,0,20.90101106,50.90102293,120.9236274,0,0,,,91.81327836,50.01130223,20.90101106,50.01130223,20.90101106,62.70302129,397.118248,188.1089095,,62.70302129,0,,101.8860191,,,0,0,,62.70302129,0,417.2650272,,279.1668499,0,50.90099918,,104.5051028,,0,0,KPWS,2004
0000000000000000000e,,,15,62.70316381,50.01148617,,45,279.1674017,15,,0,15,43.66564142,108.2323414,317.2432239,80.90103481,50.01148617,0,91.81355731,15,20.90105856,15,,,0,146.307303,,,62.70316381,14.55521381,,0,0,0,20.90105856,,,50.01148617,14.55521381,,,20.90105856,150.0343443,15,,,15,15,50.90107044,50.90104668,50.01148617,15,,,15,62.70316381,140.9010111,43.66564142,92.70312818,20.90105856,470.2491741,343.5151183,,15,0,50.01148617,50.01148617,,,,20.90105856,253.7844795,50.01148617,50.01148617,279.167906,,166.4531966,20.90105856,165,50.90107044,14.55521381,,0,,KPWS,2004
0000000000000000000f,92.71364579,0,0,20.90456435,43.68074283,,14.56024761,122.7136104,0,,0,0,0,20.90456435,,0,50.90457616,43.68074283,122.7136104,0,110.9045289,20.90456435,0,,0,0,15,,0,0,,79.14555479,0,0,15,80.90458797,,45,14.56024761,,,15,0,,,,0,15,20.90456435,0,0,14.56024761,,,0,0,75,0,15,14.56024761,50.90455253,346.431215,45,0,45,194.5225973,0,101.9217333,0,50.90455253,0,,0,75,0,,15,0,80.90454072,92.71371666,50.90455253,0,0,120.9546953,KPWS,2004
10,92.71364579,0,0,20.90456435,43.68074283,,14.56024761,122.7136104,0,,0,0,0,20.90456435,,0,50.90457616,43.68074283,122.7136104,0,110.9045289,20.90456435,0,,0,0,15,,0,0,,79.14555479,0,0,15,80.90458797,,45,14.56024761,,,15,0,,,,0,15,20.90456435,0,0,14.56024761,,,0,0,75,0,15,14.56024761,50.90455253,346.431215,45,0,45,194.5225973,0,101.9217333,0,50.90455253,0,,0,75,0,,15,0,80.90454072,92.71371666,50.90455253,0,0,120.9546953,KPWS,2004
11,20.90389072,,0,14.55928046,20.90389072,,14.55928046,0,0,80.90391437,14.55928046,20.90389072,14.55928046,14.55928046,416.3274479,20.90389072,20.90389072,14.55928046,0,20.90389072,20.90389072,0,,,45,14.55928046,,,0,0,,135,0,0,20.90389072,14.55928046,,14.55928046,0,0,,20.90389072,0,0,,,91.83024491,14.55928046,20.90389072,272.711412,0,14.55928046,50.90390255,,0,0,0,0,276.6263287,80.90391437,50.02245164,43.67784137,14.55928046,14.55928046,0,79.14101255,220.9937446,110.9038553,0,20.90389072,14.55928046,,15,15,15,,0,14.55928046,14.55928046,45,204.5644633,152.7117195,20.90389072,0,KPWS,2004
12,15,0,0,0,50.02245164,,14.55928046,0,14.55928046,62.711684,14.55928046,15,0,0,404.5196191,15,14.55928046,20.90389072,0,50.02245164,15,0,,0,50.9038789,0,,,0,0,,135,0,0,15,43.67784137,,20.90389072,14.55928046,0,,15,0,0,,,110.9039262,0,50.02245164,260.9037961,0,14.55928046,62.711684,,0,14.55928046,0,14.55928046,247.5077678,75,79.14101255,14.55928046,15,0,14.55928046,50.02245164,250.1123055,122.7115894,0,15,0,,15,14.55928046,20.90389072,,0,0,0,20.90389072,175.4459024,140.903938,14.55928046,0,KPWS,2004
13,14.55931441,0,0,20.90391437,20.90391437,,15,75,0,0,14.55931441,20.90391437,0,62.71175494,179.1861108,0,14.55931441,0,62.71173129,0,20.90391437,50.90390255,62.71173129,359.1057365,0,,,,14.55931441,15,,133.638248,0,0,50.9039262,,,14.55931441,20.90391437,,43.67794323,0,45,0,,146.327507,0,15,,91.83038376,14.55931441,14.55931441,15,,0,0,15,20.90391437,50.90390255,43.67794323,91.83038376,20.90391437,14.55931441,,0,50.90390255,0,,14.55931441,43.67794323,14.55931441,72.79657205,0,43.67794323,237.4235279,20.90391437,0,0,262.8020223,20.90391437,,80.90393802,0,50.90390255,KPWS,2004
